Item Code,Item Name,Total Projected Qty,Default Unit of Measure,Standard Selling Rate,Item Group,Auto Create Assets on Purchase,Minimum Order Qty,Allow Purchase
Ash Veneer Quarter Cut,Ash Veneer Quarter Cut,1086.05,Sqm,12.2,Natural Veneer,1,1,1
Beech Crown,Beech Crown,256.81,Sqm,5.5,Natural Veneer,1,1,1
Beech Veneer Crown Cut,Beech Veneer Crown Cut,2100.21,Sqm,5.8,Natural Veneer,1,1,1
Beech Veneer Quarter Cut,Beech Veneer Quarter Cut,659.76,Sqm,5.51,Natural Veneer,1,1,1
Burma Teak Veneer Crown,Burma Teak Veneer Crown,12.77,Sqm,53,Natural Veneer,1,1,1
Cheery Veneer Quarter Cut,Cheery Veneer Quarter Cut,12.08,Sqm,16,Natural Veneer,1,1,1
Cherry Veneer Crown Cut,Cherry Veneer Crown Cut,310.8,Sqm,16,Natural Veneer,1,1,1
Cherry Veneer Quarter Cut,Cherry Veneer Quarter Cut,588.01,Sqm,15.77,Natural Veneer,1,1,1
Dyed Wenge Brown Dark,Dyed Wenge Brown Dark,,,,Natural Veneer,1,1,1
Etimeo Veneer Crown Cut,Etimeo Veneer Crown Cut,25.06,Sqm,11,Natural Veneer,1,1,1
Iroko Veneer,Iroko Veneer,15.87,Sqm,12,Natural Veneer,1,1,1
Mahogany Veneer Crown Cut,Mahogany Veneer Crown Cut,287.5,Sqm,5.76,Natural Veneer,1,1,1
Maple Veneer Crown Cut,Maple Veneer Crown Cut,310.4,Sqm,16.24,Natural Veneer,1,1,1
Maple Veneer Quarter Cut,Maple Veneer Quarter Cut,157.49,Sqm,16,Natural Veneer,1,1,1
Mappa Burl Veneer,Mappa Burl Veneer,11.09,Sqm,14,Natural Veneer,1,1,1
Pine Veneer Quarter Cut,Pine Veneer Quarter Cut,20.71,Sqm,12,Natural Veneer,1,1,1
Recon Walnut Quarter,Recon Walnut Quarter,458.35,Sqm,20.77,Natural Veneer,1,1,1
Red Oak Veneer Crown Cut,Red Oak Veneer Crown Cut,1848.17,Sqm,8.94,Natural Veneer,1,1,1
Red Oak Veneer Quarter Cut,Red Oak Veneer Quarter Cut,770.632,Sqm,9.15,Natural Veneer,1,1,1
Rose Wood Quarter Veneer,Rose Wood Quarter Veneer,6.73,Sqm,95,Natural Veneer,1,1,1
Rustic Veneer Crown Cut,Rustic Veneer Crown Cut,46.52,Sqm,23.65,Natural Veneer,1,1,1
SandingB/S + Cherry Quarter B/S Pressing,SandingB/S + Cherry Quarter B/S Pressing,,,,Natural Veneer,1,1,1
SandingB/S + White Oak Crown B/S Pressing,SandingB/S + White Oak Crown B/S Pressing,,,,Natural Veneer,1,1,1
Santos Rosewood Veneer,Santos Rosewood Veneer,173.42,Sqm,33.12,Natural Veneer,1,1,1
Santros Rosewood Veneer,Santros Rosewood Veneer,9.22,Sqm,34,Natural Veneer,1,1,1
Sapele Veneer Quarter Cut,Sapele Veneer Quarter Cut,235.97,Sqm,5.77,Natural Veneer,1,1,1
Teak Veneer Quarter Cut,Teak Veneer Quarter Cut,12.14,Sqm,52,Natural Veneer,1,1,1
Walnut Crown Cut,Walnut Crown Cut,,,,Natural Veneer,1,1,1
Walnut Quarter O/S Pressing,Walnut Quarter O/S Pressing,,,,Natural Veneer,1,1,1
Walnut Veneer Crown Cut,Walnut Veneer Crown Cut,994.77,Sqm,20.66,Natural Veneer,1,1,1
Walnut Veneer Quarter Cut,Walnut Veneer Quarter Cut,1302.76,Sqm,21.05,Natural Veneer,1,1,1
White Ash Crown Cut,White Ash Crown Cut,11.14,Sqm,9,Natural Veneer,1,1,1
White Ash Veneer Quarter Cut,White Ash Veneer Quarter Cut,314.89,Sqm,9,Natural Veneer,1,1,1
White Oak Crown,White Oak Crown,299.17,Sqm,21.29,Natural Veneer,1,1,1
White Oak Quarter O/S Laminate Pressing,White Oak Quarter O/S Laminate Pressing,,,,Natural Veneer,1,1,1
White Oak Veneer Crown Cut,White Oak Veneer Crown Cut,2088.33,Sqm,21.59,Natural Veneer,1,1,1
White Oak Veneer Quarter Cut,White Oak Veneer Quarter Cut,2394.555,Sqm,23.11,Natural Veneer,1,1,1
Yellow Pine Veneer Crown Cut,Yellow Pine Veneer Crown Cut,74.03,Sqm,11,Natural Veneer,1,1,1
12MM Commercial Playwood,12MM Commercial Playwood,1,Nos,50,Playwood,1,1,1
12mm commercial plywood Indonesia,12mm commercial plywood Indonesia,10,Nos,50,Playwood,1,1,1
18MM Commercial Plywood Indonesia,18MM Commercial Plywood Indonesia,31,Nos,64.48,Playwood,1,1,1
Door Both Side Sanding,Door Both Side Sanding,,,,Sanding,1,1,1
"Door B/S sanding B/S Red Oak Qtr
","Door B/S sanding B/S Red Oak Qtr
",,,,Sanding,1,1,1
Door Frame Sanding,Door Frame Sanding,22,Pcs,15.91,Sanding,1,1,1
Door Sanding,Door Sanding,535,Nos,46.99,Sanding,1,1,1
Panel Sanding,Panel Sanding,77,Pcs,31.73,Sanding,1,1,1
Karigar Premium Synthetic Resin Adhesive 25kg,Karigar Premium Synthetic Resin Adhesive 25kg,11,DRUM,210,Veneer Glue,1,1,1
Karigar Premium Synthetic Resin Adhesive 50KG,Karigar Premium Synthetic Resin Adhesive 50KG,13,DRUM,363.22,Veneer Glue,1,1,1
Super Bound Glue 50Kg,Super Bound Glue 50Kg,3,DRUM,270,Veneer Glue,1,1,1
FEvicol Woodgrip UF Glue 25Kg Powder Glue,FEvicol Woodgrip UF Glue 25Kg Powder Glue,35,Bag,225.71,Veneer Powder Glue,1,1,1
Powder Glue,Powder Glue,13,Bag,216.54,Veneer Powder Glue,1,1,1
Super Bond Powder Glue 25KG,Super Bond Powder Glue 25KG,56,Bag,205.09,Veneer Powder Glue,1,1,1
"18MM MR MDF MLM O/S TH
","18MM MR MDF MLM O/S TH
",,,,Veneer Pressing Work,1,1,1
33mm Hallow Board,33mm Hallow Board,,,,Veneer Pressing Work,1,1,1
Ash Crown B/S Pressing,Ash Crown B/S Pressing,,,,Veneer Pressing Work,1,1,1
Ash Crown O/S Pressing Backing,Ash Crown O/S Pressing Backing,,,,Veneer Pressing Work,1,1,1
Ash Quarter B/S Pressing,Ash Quarter B/S Pressing,,,,Veneer Pressing Work,1,1,1
Ash Quarter O/S + Backing,Ash Quarter O/S + Backing,,,,Veneer Pressing Work,1,1,1
Ash Quarter O/S Pressing,Ash Quarter O/S Pressing,,,,Veneer Pressing Work,1,1,1
"Backing Pressing
","Backing Pressing
",,,,Veneer Pressing Work,1,1,1
Beech Crown B/S Pressing,Beech Crown B/S Pressing,,,,Veneer Pressing Work,1,1,1
"Beech Crown O/S Backing
Pressing","Beech Crown O/S Backing
Pressing",,,,Veneer Pressing Work,1,1,1
Beech Crown O/S Backing Pressing,Beech Crown O/S Backing Pressing,,,,Veneer Pressing Work,1,1,1
Beech Crown O/S Pressing,Beech Crown O/S Pressing,,,,Veneer Pressing Work,1,1,1
"Beech Quarter B/S Pressing
","Beech Quarter B/S Pressing
",,,,Veneer Pressing Work,1,1,1
Big door b/s sanding and melamine o/s sanding and O/s melamine pressing o/s veneer pressing,Big door b/s sanding and melamine o/s sanding and O/s melamine pressing o/s veneer pressing,,,,Veneer Pressing Work,1,1,1
B/S Sanding,B/S Sanding,10,Nos,91,Veneer Pressing Work,1,1,1
B/s sanding B/s normal pressing B/s veneer pressing Making charges,B/s sanding B/s normal pressing B/s veneer pressing Making charges,,,,Veneer Pressing Work,1,1,1
"Cherry Crown B/S Pressing
","Cherry Crown B/S Pressing
",,,,Veneer Pressing Work,1,1,1
