Item Code,Item Name,Total Projected Qty,Default Unit of Measure,Standard Selling Rate,Item Group,Auto Create Assets on Purchase,Minimum Order Qty,Allow Purchase
Hardly GI Wall Angle 25x25x300,Hardly GI Wall Angle 25x25x300,10,Pcs,6.9,All Item Groups,1,1,1
Hardner Marble Glue,Hardner Marble Glue,1,Pcs,25,All Item Groups,1,1,1
Hardner Tube Small,Hardner Tube Small,2,Nos,16,All Item Groups,1,1,1
Hardtop XP Base 1 A4 1L+B 45L (4.55L),Hardtop XP Base 1 A4 1L+B 45L (4.55L),1,Gln,159,All Item Groups,1,1,1
HDMI Cable,HDMI Cable,7,Nos,22.71,All Item Groups,1,1,1
"Headles Nail 11/2""","Headles Nail 11/2""",2,Pkt,4,All Item Groups,1,1,1
Heater Thermostat,Heater Thermostat,1,Pcs,40,All Item Groups,1,1,1
Heat Shrinkable Sleeve 2mm Black,Heat Shrinkable Sleeve 2mm Black,1,Mtr,0.8,All Item Groups,1,1,1
HEX BOLT,HEX BOLT,31,Pcs,4.05,All Item Groups,1,1,1
High Power Acid 4Ltr,High Power Acid 4Ltr,6,Gln,17.67,All Item Groups,1,1,1
Himel N Contact Block,Himel N Contact Block,2,Nos,5,All Item Groups,1,1,1
Himel VFD 2.2KW 3HP 9.8A HD AC 200-240 1PH-3Ph,Himel VFD 2.2KW 3HP 9.8A HD AC 200-240 1PH-3Ph,4,Nos,520,All Item Groups,1,1,1
Hioki Megger Digital Insulation Tester,Hioki Megger Digital Insulation Tester,,,,All Item Groups,1,1,1
HML 100A 4P 100MAELCB,HML 100A 4P 100MAELCB,1,Nos,115,All Item Groups,1,1,1
HML 125A 4P Isolator,HML 125A 4P Isolator,2,Nos,35,All Item Groups,1,1,1
HML 14 Pin Relay 230V AC Led 4P 5A,HML 14 Pin Relay 230V AC Led 4P 5A,10,Nos,10.84,All Item Groups,1,1,1
HML 16A SP MCB 6KA,HML 16A SP MCB 6KA,2,Nos,5.33,All Item Groups,1,1,1
HML 20A 3P MCB 6ka,HML 20A 3P MCB 6ka,6,Nos,24,All Item Groups,1,1,1
HML 2 Position Selector Switch,HML 2 Position Selector Switch,2,Nos,3.56,All Item Groups,1,1,1
HML 3 Position Selector Switch 2No,HML 3 Position Selector Switch 2No,4,Nos,3.57,All Item Groups,1,1,1
HML 40A 4P 100MA ELCB,HML 40A 4P 100MA ELCB,8,Nos,65,All Item Groups,1,1,1
HML 6A SP MCB 6KA,HML 6A SP MCB 6KA,1,Nos,5.33,All Item Groups,1,1,1
HML Indication Lamp 240V AC BLUE,HML Indication Lamp 240V AC BLUE,1,Nos,1.86,All Item Groups,1,1,1
HML Indication Lamp 240V AC GREEN,HML Indication Lamp 240V AC GREEN,6,Nos,3.31,All Item Groups,1,1,1
HML Indication Lamp 240V AC Red,HML Indication Lamp 240V AC Red,6,Nos,2.95,All Item Groups,1,1,1
HML Indication LAmp 240V AC Yellow,HML Indication LAmp 240V AC Yellow,3,Nos,1.86,All Item Groups,1,1,1
HML Plug In Relay Base 14Pin,HML Plug In Relay Base 14Pin,5,Nos,5.89,All Item Groups,1,1,1
Holder GU10,Holder GU10,4,Nos,3,All Item Groups,1,1,1
Holder Pendent E27 Eco,Holder Pendent E27 Eco,1,Pcs,4,All Item Groups,1,1,1
Hole Saw SS 40MM,Hole Saw SS 40MM,1,Nos,25,All Item Groups,1,1,1
"Hollow Block 40x20x10 4""","Hollow Block 40x20x10 4""",15,Pcs,3,All Item Groups,1,1,1
"Hollow Block 8""","Hollow Block 8""",84,Nos,3.4,All Item Groups,1,1,1
Hose Clip,Hose Clip,23,Nos,5.65,All Item Groups,1,1,1
Hose Clip 110-140 mm,Hose Clip 110-140 mm,,,,All Item Groups,1,1,1
Hose Clip 16-22MM(7/8),Hose Clip 16-22MM(7/8),,,,All Item Groups,1,1,1
Hose Clip 22-30MM(1-1/8),Hose Clip 22-30MM(1-1/8),,,,All Item Groups,1,1,1
Hose Clip 25-35MM(1-3/8),Hose Clip 25-35MM(1-3/8),,,,All Item Groups,1,1,1
Hose Pipe,Hose Pipe,2,Nos,22,All Item Groups,1,1,1
Hot Cabinet,Hot Cabinet,1,Nos,40,All Item Groups,1,1,1
Hot water temperaturesettings @ HW boiler controlpanel,Hot water temperaturesettings @ HW boiler controlpanel,,,,All Item Groups,1,1,1
"H/P Elbow 1"" x 90Deg Atlas","H/P Elbow 1"" x 90Deg Atlas",15,Nos,2.33,All Item Groups,1,1,1
H/P Elbow 20MM x 45 Deg -ATLAS,H/P Elbow 20MM x 45 Deg -ATLAS,,,,All Item Groups,1,1,1
"H/P Elbow 3/4"" x 90Deg Atlas","H/P Elbow 3/4"" x 90Deg Atlas",5,Nos,2,All Item Groups,1,1,1
"H/P End CAp 1""","H/P End CAp 1""",12,Nos,2.17,All Item Groups,1,1,1
"H/P END CAP 11/2"" -  Atlas","H/P END CAP 11/2"" -  Atlas",5,Pcs,3.5,All Item Groups,1,1,1
"H/P END CAP 11/4"" - Atlas","H/P END CAP 11/4"" - Atlas",5,Pcs,3.5,All Item Groups,1,1,1
"H/P END CAP 2"" -  Atlas","H/P END CAP 2"" -  Atlas",5,Pcs,4.5,All Item Groups,1,1,1
"H/P END CAP 3/4""-Atlas","H/P END CAP 3/4""-Atlas",10,Pcs,1.5,All Item Groups,1,1,1
"H/P Female Elbow 3/4""","H/P Female Elbow 3/4""",1,Nos,2,All Item Groups,1,1,1
H/P Female Socket 20MM,H/P Female Socket 20MM,,,,All Item Groups,1,1,1
HPL Laminates Blake 0.8MM,HPL Laminates Blake 0.8MM,3,Nos,38,All Item Groups,1,1,1
"H/P Male Socket 1"" Atlas","H/P Male Socket 1"" Atlas",7,Nos,3,All Item Groups,1,1,1
"HP Nipple Socket 1/2""","HP Nipple Socket 1/2""",2,Nos,1.5,All Item Groups,1,1,1
"HP Pipe 2"" x 6Mtr","HP Pipe 2"" x 6Mtr",1,Pcs,50,All Item Groups,1,1,1
"HP PVC Tee Dark Grey 1/2""-","HP PVC Tee Dark Grey 1/2""-",,,,All Item Groups,1,1,1
HP Red Bus 1x11/2 Atlas,HP Red Bus 1x11/2 Atlas,,,,All Item Groups,1,1,1
HP Red Bush 1x3/4 Atlas,HP Red Bush 1x3/4 Atlas,,,,All Item Groups,1,1,1
HP Red Bush 2 x 11/2 ATLAS,HP Red Bush 2 x 11/2 ATLAS,,,,All Item Groups,1,1,1
"H/P Socket 1"" Atlas","H/P Socket 1"" Atlas",24,Nos,2.17,All Item Groups,1,1,1
"H/P Union 1""","H/P Union 1""",2,Nos,6,All Item Groups,1,1,1
hydroflax Pressure vessel model HFM-100V,hydroflax Pressure vessel model HFM-100V,1,Nos,623.81,All Item Groups,1,1,1
hydroflax Pressure vessel model HFM-200V10,hydroflax Pressure vessel model HFM-200V10,1,Nos,1200,All Item Groups,1,1,1
IGCRD35-DAily Time Switch With Tappets,IGCRD35-DAily Time Switch With Tappets,1,Nos,76.19,All Item Groups,1,1,1
Immersion Heating Elements,Immersion Heating Elements,,,,All Item Groups,1,1,1
Implus Relay Schneider 2p 16A,Implus Relay Schneider 2p 16A,1,Nos,65,All Item Groups,1,1,1
Industrial Mobile Plug PCE 220V 16A 3Pin,Industrial Mobile Plug PCE 220V 16A 3Pin,3,Nos,8,All Item Groups,1,1,1
Industrial Mobile Plug PCE 220V 32A 3Pin,Industrial Mobile Plug PCE 220V 32A 3Pin,15,Nos,17.73,All Item Groups,1,1,1
Industrial Mobile Socket PCE 220V 32A 3Pin,Industrial Mobile Socket PCE 220V 32A 3Pin,4,Nos,16,All Item Groups,1,1,1
Inspection & Repair of The Pump Technoplus 25-4M,Inspection & Repair of The Pump Technoplus 25-4M,1,Nos,95.24,All Item Groups,1,1,1
Installation Charges,Installation Charges,2,Lot,412.5,All Item Groups,1,1,1
Insulated Cord End E1012 Black 10MM,Insulated Cord End E1012 Black 10MM,1,Pkt,12,All Item Groups,1,1,1
Insulated Cord End Giffex E2516 Red 25mm Loose,Insulated Cord End Giffex E2516 Red 25mm Loose,1,Pkt,10,All Item Groups,1,1,1
Insulated Cord End Giffex E3516 Blue 35mm,Insulated Cord End Giffex E3516 Blue 35mm,4,Pcs,0.8,All Item Groups,1,1,1
Insulated Ring Terminal Giffex RVS 1.25-4,Insulated Ring Terminal Giffex RVS 1.25-4,1,Pkt,10,All Item Groups,1,1,1
Insulation ECOSE Roll 1.2x20mtr 50MM 16kg KNAUF GLW,Insulation ECOSE Roll 1.2x20mtr 50MM 16kg KNAUF GLW,2,Roll,144,All Item Groups,1,1,1
Insulation Tape Black,Insulation Tape Black,10,Nos,1,All Item Groups,1,1,1
Insulation Tape Vini Y/G,Insulation Tape Vini Y/G,30,Pcs,1.42,All Item Groups,1,1,1
Insulation Tape White,Insulation Tape White,10,Nos,1,All Item Groups,1,1,1
Insulation Tap Mix Color,Insulation Tap Mix Color,40,Pcs,1,All Item Groups,1,1,1
"Inter Lock Rect Grey 6""","Inter Lock Rect Grey 6""",0.5,Sqm,28.76,All Item Groups,1,1,1
Iron Box,Iron Box,1,Nos,39,All Item Groups,1,1,1
Irrigation Pump power diagNosis work,Irrigation Pump power diagNosis work,,,,All Item Groups,1,1,1
Isolator 125A 4P Rail Mounted ABB,Isolator 125A 4P Rail Mounted ABB,,,,All Item Groups,1,1,1
Isolator Schneider 35A 3P,Isolator Schneider 35A 3P,5,Nos,45,All Item Groups,1,1,1
Isolator Schneider 35A SP,Isolator Schneider 35A SP,4,Nos,39,All Item Groups,1,1,1
Joinery & Curtain Work,Joinery & Curtain Work,,,,All Item Groups,1,1,1
Joinery repair work,Joinery repair work,,,,All Item Groups,1,1,1
Joint Compound Gypsum 28KG Boral,Joint Compound Gypsum 28KG Boral,7,DRUM,47.71,All Item Groups,1,1,1
Joint Compound Gypsum 28KG USG Me,Joint Compound Gypsum 28KG USG Me,2,DRUM,44,All Item Groups,1,1,1
Jotafloor T/C Base 2 A+B 18Ltr,Jotafloor T/C Base 2 A+B 18Ltr,1,Nos,685,All Item Groups,1,1,1
JOTASHIELD,JOTASHIELD,2,LTR,42,All Item Groups,1,1,1
Jotashield Cl Mat A 16.2L,Jotashield Cl Mat A 16.2L,2,DRUM,325,All Item Groups,1,1,1
Jotashield Cl Mat A 3.6L,Jotashield Cl Mat A 3.6L,4,Gln,116.5,All Item Groups,1,1,1
Jotun Emulation Mat A/ Base,Jotun Emulation Mat A/ Base,1,DRUM,410,All Item Groups,1,1,1
Jotun Pilot Base 3.6Ltr,Jotun Pilot Base 3.6Ltr,1,Gln,163,All Item Groups,1,1,1
Jotun PVA Primer,Jotun PVA Primer,3,DRUM,64.33,All Item Groups,1,1,1
Jotun PVA Primer 3.6 Ltr,Jotun PVA Primer 3.6 Ltr,1,Gln,28,All Item Groups,1,1,1
Jotun Stucco Filler 4Lt,Jotun Stucco Filler 4Lt,2,Gln,25,All Item Groups,1,1,1
Jotun Stucco Putty 18Ltr,Jotun Stucco Putty 18Ltr,2,DRUM,60,All Item Groups,1,1,1
"Jubilee Clip 1.5""","Jubilee Clip 1.5""",,,,All Item Groups,1,1,1
Jubilee Clip 1x(30-40),Jubilee Clip 1x(30-40),30,Pcs,1.5,All Item Groups,1,1,1
Jute,Jute,2,Nos,8,All Item Groups,1,1,1
Karandi Medium,Karandi Medium,3,Pcs,6,All Item Groups,1,1,1
KDS Knife Blade Only 9mm SB-10 EVO,KDS Knife Blade Only 9mm SB-10 EVO,1,Pcs,5,All Item Groups,1,1,1
Kerabond T White 25KG,Kerabond T White 25KG,2,Bag,26,All Item Groups,1,1,1
Kerakoll Fugabella Color,Kerakoll Fugabella Color,1,Bag,45,All Item Groups,1,1,1
Kerakoll Fugabella Grout Colour 11,Kerakoll Fugabella Grout Colour 11,1,Nos,43,All Item Groups,1,1,1
Kerakoll Fugabella Grout Colour 33,Kerakoll Fugabella Grout Colour 33,2,Nos,49,All Item Groups,1,1,1
Kerakoll Fugabella Grout Colour 43,Kerakoll Fugabella Grout Colour 43,7,Nos,45,All Item Groups,1,1,1
Key Pad Installation Work,Key Pad Installation Work,,,,All Item Groups,1,1,1
"Kim Nipple 1""","Kim Nipple 1""",1,Pcs,6,All Item Groups,1,1,1
"King Nipple 1"" SS316","King Nipple 1"" SS316",2,Nos,6,All Item Groups,1,1,1
Kit Cartridge R33MFH + Nuts+Keys,Kit Cartridge R33MFH + Nuts+Keys,1,Nos,150,All Item Groups,1,1,1
Kitchen Area Drainage Unblocking Work,Kitchen Area Drainage Unblocking Work,,,,All Item Groups,1,1,1
Kitchen area gypsum wall cuting for others to check mold.,Kitchen area gypsum wall cuting for others to check mold.,,,,All Item Groups,1,1,1
Kitchen Cabinet Hinges/Half Cut-A,Kitchen Cabinet Hinges/Half Cut-A,20,Pcs,2,All Item Groups,1,1,1
Kitchen Drinage unblocking,Kitchen Drinage unblocking,,,,All Item Groups,1,1,1
Kitchen Electric Water Heater Replacement Work,Kitchen Electric Water Heater Replacement Work,,,,All Item Groups,1,1,1
Kitchen FCU & CHW Insulation and painting work,Kitchen FCU & CHW Insulation and painting work,,,,All Item Groups,1,1,1
Kitchen Hood Lamp Replacement Work,Kitchen Hood Lamp Replacement Work,,,,All Item Groups,1,1,1
Kitchen Sink Back & Bottom Panel Work,Kitchen Sink Back & Bottom Panel Work,,,,All Item Groups,1,1,1
Kitchen sink mixer,Kitchen sink mixer,,,,All Item Groups,1,1,1
KitchenTwin Socket Replacement Work,KitchenTwin Socket Replacement Work,,,,All Item Groups,1,1,1
Kitchen unblocking work,Kitchen unblocking work,,,,All Item Groups,1,1,1
KM Pressure Guage 10Bar,KM Pressure Guage 10Bar,1,Nos,15,All Item Groups,1,1,1
KM Pressure Guage 20Bar,KM Pressure Guage 20Bar,1,Nos,16,All Item Groups,1,1,1
KNIF CUTTER U6203 UKEN,KNIF CUTTER U6203 UKEN,2,Nos,8,All Item Groups,1,1,1
Knife Blade 18MM,Knife Blade 18MM,4,Pcs,5,All Item Groups,1,1,1
Knife Blade 18MM Only Lucus,Knife Blade 18MM Only Lucus,3,Pkt,5,All Item Groups,1,1,1
Knife Cutter Metal H/D Stark,Knife Cutter Metal H/D Stark,1,Nos,14,All Item Groups,1,1,1
Knife OLFA S,Knife OLFA S,2,Nos,5,All Item Groups,1,1,1
Knife Sterilizer,Knife Sterilizer,1,Nos,40,All Item Groups,1,1,1
Lable Cartridge Dymo 9mm,Lable Cartridge Dymo 9mm,1,Nos,30,All Item Groups,1,1,1
Laminate O/S Cherry+Backing Pressing,Laminate O/S Cherry+Backing Pressing,,,,All Item Groups,1,1,1
Laminate O/S Laminate Backing Pressing,Laminate O/S Laminate Backing Pressing,,,,All Item Groups,1,1,1
Laminate Pressing O/S,Laminate Pressing O/S,,,,All Item Groups,1,1,1
Laminating Pressing O/S Recon Walnut Pressing,Laminating Pressing O/S Recon Walnut Pressing,,,,All Item Groups,1,1,1
Lamp Ultrathin Magnet Catch 16x41mm,Lamp Ultrathin Magnet Catch 16x41mm,4,Nos,15,All Item Groups,1,1,1
"Laspinas Masking Tape 1""","Laspinas Masking Tape 1""",2,Box,30,All Item Groups,1,1,1
LBMGA 122.WBK,LBMGA 122.WBK,1,Nos,13,All Item Groups,1,1,1
Lc 20/100-1050/44 O4A NF SR EXC,Lc 20/100-1050/44 O4A NF SR EXC,,,,All Item Groups,1,1,1
"Leak damage rectification, AC & mixer work","Leak damage rectification, AC & mixer work",,,,All Item Groups,1,1,1
Leak Rectification,Leak Rectification,,,,All Item Groups,1,1,1
Leak Rectification and Ceiling Repair and Chandelier light removal work,Leak Rectification and Ceiling Repair and Chandelier light removal work,,,,All Item Groups,1,1,1
"Leak rectification, ceiling, AC service & Shutoff replacement work","Leak rectification, ceiling, AC service & Shutoff replacement work",,,,All Item Groups,1,1,1
"Leak rectification, ceiling & dry wall repair and painting work","Leak rectification, ceiling & dry wall repair and painting work",,,,All Item Groups,1,1,1
Leak rectification work @ Bvl-652 & 642,Leak rectification work @ Bvl-652 & 642,,,,All Item Groups,1,1,1
Led Driver For Strip Light Flicker Free,Led Driver For Strip Light Flicker Free,,,,All Item Groups,1,1,1
LED G9 2.6W 30W 2700K Osram,LED G9 2.6W 30W 2700K Osram,15,Nos,11,All Item Groups,1,1,1
Led Piolet Light Schineider Blue,Led Piolet Light Schineider Blue,6,Nos,10,All Item Groups,1,1,1
LED Rotary Dimmer -5 to 300W,LED Rotary Dimmer -5 to 300W,-1,Nos,105,All Item Groups,1,1,1
LED Spot Light MR16 7WW Dimmable,LED Spot Light MR16 7WW Dimmable,4,Pcs,15,All Item Groups,1,1,1
"LED Strip Light IP65, 2835,CRI90,24V","LED Strip Light IP65, 2835,CRI90,24V",5,Mtr,18,All Item Groups,1,1,1
Led Tube Rod Modi 20W,Led Tube Rod Modi 20W,10,Nos,6,All Item Groups,1,1,1
LED WP Fixture 2x20W LED Tube PC,LED WP Fixture 2x20W LED Tube PC,2,Nos,45,All Item Groups,1,1,1
Legrand Belanko S White13A 2G Switch 617646,Legrand Belanko S White13A 2G Switch 617646,3,Nos,12,All Item Groups,1,1,1
Legrand Belanko S White 1G 1W Switch 617600,Legrand Belanko S White 1G 1W Switch 617600,3,Nos,7,All Item Groups,1,1,1
Legrand Belanko S White 1G 2W Switch 617601,Legrand Belanko S White 1G 2W Switch 617601,1,Nos,8,All Item Groups,1,1,1
Legrand Belanko S White 2G 1W Switch 617602,Legrand Belanko S White 2G 1W Switch 617602,1,Nos,7,All Item Groups,1,1,1
L Flashing Alum 0.5mm Beige Colour,L Flashing Alum 0.5mm Beige Colour,1,Nos,75,All Item Groups,1,1,1
Light and driver installation,Light and driver installation,,,,All Item Groups,1,1,1
Lighter for Welding Set,Lighter for Welding Set,1,Nos,10,All Item Groups,1,1,1
Light Installation,Light Installation,,,,All Item Groups,1,1,1
Light replacement work,Light replacement work,,,,All Item Groups,1,1,1
Light replacement Work as per Quotation Ref: ET-QTN24-1950A-00,Light replacement Work as per Quotation Ref: ET-QTN24-1950A-00,,,,All Item Groups,1,1,1
"Light, Switch and wire work as per Quotation Ref: ET-QTN24-1950C-00","Light, Switch and wire work as per Quotation Ref: ET-QTN24-1950C-00",,,,All Item Groups,1,1,1
Lime Ivory Porcelain Tile,Lime Ivory Porcelain Tile,7.04,Sqm,191.42,All Item Groups,1,1,1
Line Dori White,Line Dori White,2,Nos,2.4,All Item Groups,1,1,1
"LL Brass Y Strainer 1""","LL Brass Y Strainer 1""",2,Pcs,21,All Item Groups,1,1,1
"LL Brass Y Strainer 1 1/4""","LL Brass Y Strainer 1 1/4""",4,Nos,27,All Item Groups,1,1,1
"LL SSC BAll Value W/union MXF PN24 1""","LL SSC BAll Value W/union MXF PN24 1""",2,Nos,26,All Item Groups,1,1,1
"LL SSC Ball Value W/union MXF PN25 1""","LL SSC Ball Value W/union MXF PN25 1""",4,Pcs,26,All Item Groups,1,1,1
"LL SSC Ball Value W/union MXF PN25 1 1/2""","LL SSC Ball Value W/union MXF PN25 1 1/2""",2,Nos,60,All Item Groups,1,1,1
"LL SSC Ball Value W/union MXF PN25 1 1/4""","LL SSC Ball Value W/union MXF PN25 1 1/4""",8,Pcs,42,All Item Groups,1,1,1
"LL SSC Spring Check Valve MXF 1""","LL SSC Spring Check Valve MXF 1""",4,Nos,17,All Item Groups,1,1,1
"LL SSC Spring Check Valve MXF 1 1/4""","LL SSC Spring Check Valve MXF 1 1/4""",4,Pcs,31,All Item Groups,1,1,1
"LL SS Hose 1"" 60cm","LL SS Hose 1"" 60cm",4,Pcs,33,All Item Groups,1,1,1
Lock Nut GI 20MM,Lock Nut GI 20MM,,,,All Item Groups,1,1,1
Lock Nut GI 25MM,Lock Nut GI 25MM,,,,All Item Groups,1,1,1
Loctite 567 (Hgh Temp Pipe Sealant),Loctite 567 (Hgh Temp Pipe Sealant),1,Nos,70,All Item Groups,1,1,1
Logic 4x3x3 Hinges,Logic 4x3x3 Hinges,3,Nos,7.5,All Item Groups,1,1,1
Logic Computer Cylinder 70MM,Logic Computer Cylinder 70MM,3,Nos,25,All Item Groups,1,1,1
Logic Computer Key Cylinder,Logic Computer Key Cylinder,10,Nos,30,All Item Groups,1,1,1
Logic Lever Handle SD 028,Logic Lever Handle SD 028,1,Nos,25,All Item Groups,1,1,1
LOGO Logic MOD,LOGO Logic MOD,1,Nos,350,All Item Groups,1,1,1
Lomg Wall Mounted Type OlefiniSS Air Curtain,Lomg Wall Mounted Type OlefiniSS Air Curtain,1,Nos,1890,All Item Groups,1,1,1
Loose BHR 6MM Flexible Cable Red,Loose BHR 6MM Flexible Cable Red,2,Mtr,3.5,All Item Groups,1,1,1
"Lost Head Nail 1"" x 17","Lost Head Nail 1"" x 17",4,Pkt,3,All Item Groups,1,1,1
"Lost Head Nail 11/2"" x 17","Lost Head Nail 11/2"" x 17",3,Pkt,3,All Item Groups,1,1,1
Lost Head Nail 1x20,Lost Head Nail 1x20,3,Pkt,3,All Item Groups,1,1,1
LR Ceiling Painting Work,LR Ceiling Painting Work,,,,All Item Groups,1,1,1
Luandry Area Power Socket Diagonsis & Wiring Work,Luandry Area Power Socket Diagonsis & Wiring Work,,,,All Item Groups,1,1,1
"Ludecke Quick Plug 1/4"" Male","Ludecke Quick Plug 1/4"" Male",2,Nos,4,All Item Groups,1,1,1
Lugs 25 x 10,Lugs 25 x 10,10,Pcs,1,All Item Groups,1,1,1
Lugs 25 x 12,Lugs 25 x 12,10,Pcs,1.2,All Item Groups,1,1,1
LUGS 25x6,LUGS 25x6,10,Pcs,0.5,All Item Groups,1,1,1
Lugs 25 x 8,Lugs 25 x 8,10,Pcs,0.8,All Item Groups,1,1,1
M4x20 Screw Machine Stl Csk,M4x20 Screw Machine Stl Csk,1,Pkt,7,All Item Groups,1,1,1
M4x20 Screw Machine Stl Csk Pcs,M4x20 Screw Machine Stl Csk Pcs,5,Nos,0.15,All Item Groups,1,1,1
"Magic Pipe 1-1/2""","Magic Pipe 1-1/2""",1,Pcs,5.33,All Item Groups,1,1,1
Magnet Catcher 73 MM Brown,Magnet Catcher 73 MM Brown,,,,All Item Groups,1,1,1
Magnetic CAtch 16x61MM White,Magnetic CAtch 16x61MM White,8,Nos,5,All Item Groups,1,1,1
Mahogamy Quatur B/S Pressing,Mahogamy Quatur B/S Pressing,,,,All Item Groups,1,1,1
Mahogamy Quatur + O/S Backing Pressing,Mahogamy Quatur + O/S Backing Pressing,,,,All Item Groups,1,1,1
Maid bathroom CorroiderCDP line unblocking.,Maid bathroom CorroiderCDP line unblocking.,,,,All Item Groups,1,1,1
Maid Room FCU work,Maid Room FCU work,,,,All Item Groups,1,1,1
"Main Entrance Leak rectification, ceiling & AC service work","Main Entrance Leak rectification, ceiling & AC service work",,,,All Item Groups,1,1,1
Main line unblocking Work,Main line unblocking Work,,,,All Item Groups,1,1,1
Main Tee China,Main Tee China,,,,All Item Groups,1,1,1
Makita Collect Sleeve,Makita Collect Sleeve,1,Pcs,17,All Item Groups,1,1,1
Makita Cordless Drill Driver 18V 13MM,Makita Cordless Drill Driver 18V 13MM,2,Nos,450,All Item Groups,1,1,1
Makita Flush Trim Bit 12.7x12MM,Makita Flush Trim Bit 12.7x12MM,1,Pcs,85,All Item Groups,1,1,1
Makita Flush Trim Bit 6.35x6MM,Makita Flush Trim Bit 6.35x6MM,2,Pcs,32.75,All Item Groups,1,1,1
Makita Router Stright Bit 8mm D-13699,Makita Router Stright Bit 8mm D-13699,1,Pcs,38,All Item Groups,1,1,1
Makita RP1800 Router 12MM,Makita RP1800 Router 12MM,1,Pcs,1203,All Item Groups,1,1,1
Makita Straight Bit 10x6MM,Makita Straight Bit 10x6MM,1,Pcs,33.25,All Item Groups,1,1,1
Makita Straight Bit 6x6MM,Makita Straight Bit 6x6MM,2,Pcs,25.75,All Item Groups,1,1,1
Makita Straight Bit 8x6MM,Makita Straight Bit 8x6MM,1,Pcs,25.75,All Item Groups,1,1,1
Male Connector Cable for LED Light,Male Connector Cable for LED Light,3,Nos,1,All Item Groups,1,1,1
Male Socket,Male Socket,5,Pcs,4.5,All Item Groups,1,1,1
Mallia Senses HDMI+USB,Mallia Senses HDMI+USB,7,Nos,80,All Item Groups,1,1,1
Malmal (Big),Malmal (Big),7,Nos,17.79,All Item Groups,1,1,1
Mapei Adesilex P7 Grey 25Kg,Mapei Adesilex P7 Grey 25Kg,55,Bag,24.73,All Item Groups,1,1,1
Mapei Adesilex P7 White 25KG,Mapei Adesilex P7 White 25KG,3,Nos,30.5,All Item Groups,1,1,1
Mapei Keraflex Grey 25KG Tile Glue,Mapei Keraflex Grey 25KG Tile Glue,45,Nos,36,All Item Groups,1,1,1
Mapei Kerapoxy Grout 110 5KG,Mapei Kerapoxy Grout 110 5KG,1,Gln,155,All Item Groups,1,1,1
Mapei Kerapoxy Grout 172 5Kg,Mapei Kerapoxy Grout 172 5Kg,4,Nos,132.93,All Item Groups,1,1,1
Mapeiset White 20KG,Mapeiset White 20KG,1,Bag,14,All Item Groups,1,1,1
Mapei Triblock P 5KG,Mapei Triblock P 5KG,1,Pcs,170,All Item Groups,1,1,1
Mapei Ultracolor + Grout 188,Mapei Ultracolor + Grout 188,1,Nos,67,All Item Groups,1,1,1
Mapei Ultracolor+Grout 5Kg 131,Mapei Ultracolor+Grout 5Kg 131,1,Bag,55,All Item Groups,1,1,1
Mapelastic Smart Waterproofing,Mapelastic Smart Waterproofing,2,Nos,265,All Item Groups,1,1,1
Maple Crown B/S Pressing,Maple Crown B/S Pressing,,,,All Item Groups,1,1,1
Maple Quarter B/S Pressing,Maple Quarter B/S Pressing,,,,All Item Groups,1,1,1
MAPP Pro Gas - Blue Flame 400Grms,MAPP Pro Gas - Blue Flame 400Grms,1,Pcs,19.05,All Item Groups,1,1,1
Marable Glue 1Kg Beige,Marable Glue 1Kg Beige,1,Nos,15,All Item Groups,1,1,1
Marble Angle 30x100,Marble Angle 30x100,10,Nos,1,All Item Groups,1,1,1
Marble Glue,Marble Glue,9,LTR,14.56,All Item Groups,1,1,1
Marble Polishing Pad 100G,Marble Polishing Pad 100G,2,Pcs,8,All Item Groups,1,1,1
Marble Polishing Pad 200G,Marble Polishing Pad 200G,1,Pcs,8,All Item Groups,1,1,1
Marble Polishing Pad 50G,Marble Polishing Pad 50G,2,Pcs,8,All Item Groups,1,1,1
Marble top repair,Marble top repair,,,,All Item Groups,1,1,1
"Masking Tape 1"" x 20Yard Hi Stick","Masking Tape 1"" x 20Yard Hi Stick",1,Box,30,All Item Groups,1,1,1
"Masking Tape 2"" Mega","Masking Tape 2"" Mega",2,CTN,55,All Item Groups,1,1,1
"Masking Tape 2"" x 24Yard Mega Tape","Masking Tape 2"" x 24Yard Mega Tape",2,CTN,48,All Item Groups,1,1,1
"Masking Tape 2"" x 30Yard Mega Tape","Masking Tape 2"" x 30Yard Mega Tape",60,Box,11.57,All Item Groups,1,1,1
"Masking Tape Asmaco 2""","Masking Tape Asmaco 2""",12,CTN,39.17,All Item Groups,1,1,1
"Master 06007 Adjustable Wrench 8""","Master 06007 Adjustable Wrench 8""",2,Pcs,17.5,All Item Groups,1,1,1
Master 10901 Screw Driver 6Pcs Set,Master 10901 Screw Driver 6Pcs Set,1,Set,30,All Item Groups,1,1,1
Master Key,Master Key,1,Nos,11,All Item Groups,1,1,1
"Master Pruning Saw 12""","Master Pruning Saw 12""",1,Nos,18,All Item Groups,1,1,1
Mas Wood Filler Natural 500ML,Mas Wood Filler Natural 500ML,1,Nos,23,All Item Groups,1,1,1
"Matrix/I10-6T/2,2 IE3","Matrix/I10-6T/2,2 IE3",4,Nos,1995,All Item Groups,1,1,1
"Matrix/I 5-5T/1,3 IE3","Matrix/I 5-5T/1,3 IE3",2,Nos,1450,All Item Groups,1,1,1
